id,filerId,filingId,filerName,filingDate,departmentName,positionName,offices,periodStart,periodEnd,entityName,address,city,state,zip,businessType,description,natureOfInvestment,natureOfInvestment_OtherDescription,businessPosition,dateAcquired,dateDisposed,fairMarketValueScheduleA2,fairMarketValueScheduleA2AsRange,grossIncomeReceived,grossIncomeReceivedAsRange,incomeSources,realProperty_investmentType,realProperty_businessName,realProperty_parcelAddress,realProperty_descriptionOrCityOrLocation,realProperty_dateAcquired,realProperty_dateDisposed,realProperty_fairMarketValue,realProperty_fairMarketValueAsRange,realProperty_natureOfInterest,realProperty_natureOfInterest_LeaseYearsRemaining,realProperty_natureOfInterest_OtherDescription
b8112617dd454c168da27c3e15930ef6-1,SFO-155818,207692387,"Gandhi, Shruti",04/06/2023 02:20:08 PM,Retirement Board,Member,Member - Retirement Board,01/01/2022,12/31/2022,Lalit Ventures LLC,[REDACTED],San Francisco,CA,94110,Business Entity,Venture Capital,Other,LLC,General Partner,,,1000,"$0 - $1,999",100000,"Over $100,000",,Investment,Array Ventures LP,[REDACTED],Investment Fund,,,1000000,"Over $1,000,000",Partnership,,
9a0441dcf9084893860d83faa2c9a816,SFO-155818,207692387,"Gandhi, Shruti",04/06/2023 02:20:08 PM,Retirement Board,Member,Member - Retirement Board,01/01/2022,12/31/2022,"Array Ventures Transformers GP I, LLC",[REDACTED],San Francisco,CA,94110,Business Entity,Venture Capital,Partnership,,,,,100000,"$100,001 - $1,000,000",1000,"$1,001 - $10,000",,,,,,,,,,,,
7da705a9e79e44979c6a4c26e1168573,SFO-162278,207686663,"Pacino, Katy",04/06/2023 10:49:56 AM,Public Health Department of,Senior Behavioral Health Clinician,Senior Behavioral Health Clinician - Public Health Department of,09/17/2021,09/17/2022,R.I.S.E. Therapy Practice,[REDACTED],San Francisco,CA,94103,Business Entity,Private Practice for Mental Health specializing in relational intimacy and self-exploration for adults and couples,Sole Proprietorship,,Owner,,,2000,"$2,000 - $10,000",1000,"$1,001 - $10,000",Sessions with Clients,,,,,,,,,,,
ea65863af578409d9afd43007997f874,SFO-162278,207686591,"Pacino, Katy",04/06/2023 10:48:05 AM,Public Health Department of,Senior Behavioral Health Clinician,Senior Behavioral Health Clinician - Public Health Department of,09/18/2022,12/31/2022,R.I.S.E. Therapy Practice,[REDACTED],San Francisco,CA,94103,Business Entity,Private Practice for Mental Health specializing in relational intimacy and self-exploration for adults and couples,Sole Proprietorship,,Owner,,,2000,"$2,000 - $10,000",1000,"$1,001 - $10,000",Sessions with Clients,,,,,,,,,,,
3319f2bd42614e5d8a6e40b7581eb5f5-1,SFO-153385,207680529,"Lindo, Leroy",04/05/2023 08:26:44 PM,Housing Authority Commission,Commissioner,Commissioner - Housing Authority Commission,01/01/2022,12/31/2022,"Leroy D. Lindo/ Narrisa D. Lindo
2001 Revocable Trust ",[REDACTED],San Francisco,Ca,94112,Trust,,Unset,,,,,,Unset,10000,"$10,001 - $100,000",,Real Property,3181 Yarwood Way,[REDACTED],"Sacramento, Ca.  95835",,,100000,"$100,001 - $1,000,000",Property Ownership/Deed of Trust,,
3319f2bd42614e5d8a6e40b7581eb5f5-2,SFO-153385,207680529,"Lindo, Leroy",04/05/2023 08:26:44 PM,Housing Authority Commission,Commissioner,Commissioner - Housing Authority Commission,01/01/2022,12/31/2022,"Leroy D. Lindo/ Narrisa D. Lindo
2001 Revocable Trust ",[REDACTED],San Francisco,Ca,94112,Trust,,Unset,,,,,,Unset,10000,"$10,001 - $100,000",,Real Property,194 Montana St.,[REDACTED],"San Francisco, Ca. 94112",,,1000000,"Over $1,000,000",Property Ownership/Deed of Trust,,
8015bd39b80d4fa39d303690e106a83e,SFO-162571,207672721,"Otero, Carmen",04/05/2023 01:18:09 PM,Mayor Office of the,Mayor's Office of Housing and Community Development--Mayoral Staff,Mayor's Office of Housing and Community Development--Mayoral Staff - Mayor Office of the,03/27/2022,03/27/2023,Carmen Otero,[REDACTED],Antioch,CA,94531,Business Entity,Fair/Festival vendor. Sell crystal quartz stone and jewelry. Metaphysical/new age items.,Partnership,,Partner,03/15/2022,,2000,"$2,000 - $10,000",1000,"$1,001 - $10,000",,,,,,,,,,,,
249b4b8aaf0047b3b7b2bdeb8e30a2c2,SFO-161498,207670810,"Mogannam, Maryo",04/05/2023 11:36:15 AM,Sanitation and Streets Commission,Member,"Sanitation and Streets Commission, Member - Sanitation and Streets Commission",07/15/2021,07/15/2022,THE POSTAL CHASE INC,[REDACTED],SF,CA,94127,Business Entity,PRIVATE MAIL CENTER,Other,S-CORP,FOUNDER CEO,04/01/1993,,1000000,"Over $1,000,000",10000,"$10,001 - $100,000",SALARY,,,,,,,,,,,
6c2509f7b19e4aa0ba1f00723cdb81a1-1,SFO-162336,207669700,"Traversaro, Jodi",04/05/2023 10:48:45 AM,Emergency Management Department of,UASI Targeting Violent Terrorism Prevention Manager,UASI Targeting Violent Terrorism Prevention Manager - Emergency Management Department of,03/12/2022,03/12/2023,Jodi Traversaro Living Trust,[REDACTED],San Francisco,CA,94133,Trust,,Unset,,,,,,Unset,250,$0 - $499,,Real Property,456 C Vallejo Street,[REDACTED],San Francisco,12/17/2021,,100000,"$100,001 - $1,000,000",Property Ownership/Deed of Trust,,
0dc76b077103406d91a6408803ab0d37,SFO-155905,207669369,"Griffin, Laurence",04/05/2023 10:40:39 AM,Recreation & Parks Commission,Commissioner,Commissioner - Recreation & Parks Commission,01/01/2022,12/31/2022,Trust of Estelle H. Griffin,[REDACTED],San Francisco,CA,94115,Trust,,Unset,,,,,,Unset,10000,"$10,001 - $100,000","1916 McAllister, Democratic Socialist of America|1918 McAllister, Erica Griffin",,,,,,,,,,,
03d8cb8365454b5f82f11711454e050c-1,SFO-162626,207668602,"Beltramo, Matthew",04/05/2023 10:12:04 AM,District Attorney Office of the,All Attorneys,Assistant District Attorney - District Attorney Office of the,04/03/2022,04/03/2023,Chuang Beltramo Family Trust ,[REDACTED],Lafayette,CA,94549,Trust,,Unset,,,,,,Unset,10000,"$10,001 - $100,000","Tenants at Lenexa, KS rental property (Jaime Powell and John Hendrickson)|Tenant at Pleasant Hill, CA, rental property (Colleen Walsh, Nishian Cote, Mark Cote)",Investment,16533 W. 80th Street,[REDACTED],"Lenexa, KS",,,100000,"$100,001 - $1,000,000",Property Ownership/Deed of Trust,,
03d8cb8365454b5f82f11711454e050c-2,SFO-162626,207668602,"Beltramo, Matthew",04/05/2023 10:12:04 AM,District Attorney Office of the,All Attorneys,Assistant District Attorney - District Attorney Office of the,04/03/2022,04/03/2023,Chuang Beltramo Family Trust ,[REDACTED],Lafayette,CA,94549,Trust,,Unset,,,,,,Unset,10000,"$10,001 - $100,000","Tenants at Lenexa, KS rental property (Jaime Powell and John Hendrickson)|Tenant at Pleasant Hill, CA, rental property (Colleen Walsh, Nishian Cote, Mark Cote)",Real Property,166 Lois Court,[REDACTED],"Pleasant Hill, CA",,,100000,"$100,001 - $1,000,000",Property Ownership/Deed of Trust,,
b032a4724d7a4f819fa3883bc706e9f3,SFO-162477,207668482,"Hayward, Sophia",04/05/2023 10:06:22 AM,City Administrator's Office (GSA),Main Office--Legislative and Public Affairs Director,Main Office--Legislative and Public Affairs Director - City Administrator's Office (GSA),03/12/2022,03/12/2023,Lighthouse Public Affairs,[REDACTED],San Francisco,Ca,94121,Business Entity,Public Affairs Consultancy,Partnership,,None,,,1000000,"Over $1,000,000",100000,"Over $100,000","SELPA Administrators Association of California|Sand Hill Property Company|San Jose Unified School District|San Joaquin River Exchange Contractors Water Authority|San Francisco SPCA|SamTrans/Caltrain|Salesforce.com Inc|Royal Auto Group|Richardson's Bay Regional Agency|Republic Services|RafterMarsh US|R&M Properties|Prudential|Prometheus (Belmont)|Prologis|Presidio Bay Ventures, LLC|Phi Associates LP -- Hotel Drisco|Peninsula Bay Trust Company|Park West Casinos, Inc.|Paradies Lagardere|Pacific Maritime Association|OM Asset Management, Inc (MIXT)|Olea Edge Analytics|North State BIA|NARAL Pro-Choice California|Nan McKay|Modern Animal|Mill Creek Residential|Mexican Museum|Mare Island|MacFarlane Partners (Freedom West)|Low Income Investment Fund (LIIF)|Locust Street|Link Scooters|LeSar Holdings, LLC|Lars Andersen & Associates|Lane Partners|Lakeside Redstone|LA Equestrian Center|KLW Investments|Kilroy Realty|Jewish Community Campus (LPC College, LLC)|Jefferson Property Owner, LLC|Jefferson Highschool Group|Jacobs Engineering Group|IQHQ Life Science|Intersection|Hoag Hospital|Hines|Heirloom Carbon Technologies|Hanlees Auto Group|Habitat for Humanity|Grocery Outlet|Greenlining|Gaehwiler Construction|Freeman Events|Fieldstead & Co|Fehr & Peers|Ellis Partners/CEP Town & Country Investors|Eden Township Healthcare District|Eaze Solutions|DW Burlingame, LLC|Duke Realty|DUDEK|Dolby Sacramento|Dolby Laboratories Inc.|DivcoWest (Sand Hill) 3000SH|Discovery Builders, Inc.|CSUS|Consulate General of Japan/SF|Congregation Emanu-El|Coburn School|Citigroup Washington Inc.|Citibank Van Ness|Chris Good (1458 San Bruno)|Center for Good Food Purchasing|Carmel Partners|Capital SE Connector JPA|Candid|California State Beekeepers Association|California Rowing Club|California Nurse-Midwives Association|California Film Institute (Sequoia Theater)|CA Yimby|BuildGroup|BuildCasa|BUILD-469 Stevenson|Build Inc|Bristlecone Real Estate Company LLC|Blatteis Schnur|Black Leadership Council|Barulich Dugoni & Suttermann Law Group|BARHII (Bay Area Regional Health Inequities Initiative)|Axiom Advisors|AT&T|ARUP US,Inc|Animal Legal Defense Fund (ALDF)|Albertsons/Safeway|Akkadian Ventures, Inc.|AGI Alliance Ground|Access Housing|Accenture|SF Bay Area Planning and Urban Research Association|SF Parks Alliance|Shriners Childrens Hospital|Sierra Pacific Industries|Slow Streets (SFPA)|Smith Development Group|Strada|Straffic America, LLC|Suffolk Construction Company, Inc|SupplyBank.org|Sutro Tower|Teichert & Son, Inc|The Michaels Organization (Oakland Housing Investors)|The Miller Law Firm|The Seven Hills School|The Sobrato Organization|Thomas James Homes|Tiger Global Management|Tobacco Free Kids Action Fund|Tree Care Industry Association|UDR/Alameda Point Block 11|Unibail-Rodamco-Westfield SF SH Trade|United Way of Greater Los Angeles|University High School|Vallejo Investments|Valley Water (Santa Clara Valley Water District)|Visa|VMWare|Worldwide Environmental Products|Yimby Action/YIMBY Law|Zoox",,,,,,,,,,,
770a664d4c3349d69b788e1117df740b,SFO-162477,207668482,"Hayward, Sophia",04/05/2023 10:06:22 AM,City Administrator's Office (GSA),Main Office--Legislative and Public Affairs Director,Main Office--Legislative and Public Affairs Director - City Administrator's Office (GSA),03/12/2022,03/12/2023,"Urban Praxis, LLC",[REDACTED],San Francisco,Ca,94121,Business Entity,Consultancy focused on affordable housing solutions.  My consultancy prior to assuming office.,Sole Proprietorship,,Founder/Principal,,06/30/2022,10000,"$10,001 - $100,000",10000,"$10,001 - $100,000",Non-Profit Housing Association of Northern California,,,,,,,,,,,
12372372f879459b9185094e8007abe0,SFO-161552,207666775,"Chow, Wade",04/05/2023 08:58:58 AM,City Attorney Office of the,"Attorneys, Code Enforcement","Attorneys, Code Enforcement - City Attorney Office of the",09/07/2022,12/31/2022,Dr. Naomi Lam,[REDACTED],San Francisco,CA,94109,Business Entity,Psychiatry,Sole Proprietorship,,none,,,100000,"$100,001 - $1,000,000",100000,"Over $100,000",,,,,,,,,,,,
7cea1ddecb3941c59dd96cd774437e20-1,SFO-156551,207663099,"Fine, Ivy",04/04/2023 05:20:58 PM,Public Utilities Commission,Infrastructure Bureau--Manager VI,Infrastructure Bureau--Manager VI - Public Utilities Commission,01/01/2022,12/31/2022,Stash Scott LLC,[REDACTED],San Francisco,CA,94114,Business Entity,Residential and Commercial Rental Property,Other,LLC,Member,,,1000000,"Over $1,000,000",100000,"Over $100,000",rent|#2034-1 Charlotte Smith|#2034-2 Gerd Mairandres|#2038 Neev E. Pettel|#2040 Anissa Hernandez|#2042 Katherine N. Schlager|#2799 On Cue Pilates|Parking #03 Shana M. Michael|Parking #04 Jaymie M. Costello|Parking #05 Dan C. Bass|Parking #08 Allison J. Lynk|Parking #09 Peter G. Williamson,Real Property,"Stash Scott LLC
2034-2799 Scott Street",[REDACTED],San Francisco 2034-2799 Scott/Sacramento Streets,,,1000000,"Over $1,000,000",Other,,LLC
6d1c6f7cdcc14915a0683339f69abb28-1,SFO-156551,207663099,"Fine, Ivy",04/04/2023 05:20:58 PM,Public Utilities Commission,Infrastructure Bureau--Manager VI,Infrastructure Bureau--Manager VI - Public Utilities Commission,01/01/2022,12/31/2022,Stash Castro LLC,[REDACTED],San Francisco,CA,94114,Business Entity,Residential and Commercial Rental Property,Other,LLC,Member,,,1000000,"Over $1,000,000",100000,"Over $100,000",Rent|#101 Charles Graham|#102 Ellen Mckinstry|#103 Pedro Perez|#201 James Higham|#202 Ron Casey|#203 Craig Breggemann|#204 John Wolford|#205 Jose Enrique Santamaria|#301 Elise Fried|#302 Raul Gonzalez|#303 Gregory Griffin|#304 Arnau Sala Soler|#579 Anchor Oyster Bar|#104 Samuel J. Moskal|#105 Aurick Q. Zhou,Real Property,"Stash Castro LLC
577 Castro Street",[REDACTED],San Francisco 577 Castro Street,,,1000000,"Over $1,000,000",Other,,LLC
1552323fb21d4d84b9ccdc16935a09ef-1,SFO-156551,207663099,"Fine, Ivy",04/04/2023 05:20:58 PM,Public Utilities Commission,Infrastructure Bureau--Manager VI,Infrastructure Bureau--Manager VI - Public Utilities Commission,01/01/2022,12/31/2022,Stash Divisadero LLC,[REDACTED],San Francisco,CA,94114,Business Entity,Residential Rental Property,Other,LLC,Member,,,1000000,"Over $1,000,000",100000,"Over $100,000",#924 Ryan Lamb|#926 Ben Thompson|#928 Geoffrey Reed|#934 Jesse Marcias ,Real Property,"924-934 Divisadero Street
",[REDACTED],Stash Divisadero 924-934 Divisadero Street,,,1000000,"Over $1,000,000",Other,,LLC
75d28ec895cd4077826c8a6dbfc68a20,SFO-1276,207662917,"Brodkin, Margaret",04/04/2023 05:12:37 PM,"Children & Families First Commission,Juvenile Probation Commission","Director,Commissioner",Commissioner - Juvenile Probation Commission,01/01/2022,12/31/2022,Margaret Brodkin and Associates,[REDACTED],San Francisco,CA,94114,Business Entity,Consulting,Sole Proprietorship,,Owner/Sole Proprietor,,,2000,"$2,000 - $10,000",1000,"$1,001 - $10,000",Safe and Sound,,,,,,,,,,,
cb4bd5257762443b88b27ea8d3f06055,SFO-152790,207659200,"Ortiz-Cartagena, William",04/04/2023 03:08:47 PM,Small Business Commission,Commissioner,Commissioner - Small Business Commission,01/01/2022,12/31/2022,Cartagena Consulting,[REDACTED],SF,CA,94134,Business Entity,Consulting,Sole Proprietorship,,Owner,,,1000000,"Over $1,000,000",10000,"$10,001 - $100,000",,,,,,,,,,,,
57af0f71ac0f4159997e293613b4b087,SFO-152790,207659200,"Ortiz-Cartagena, William",04/04/2023 03:08:47 PM,Small Business Commission,Commissioner,Commissioner - Small Business Commission,01/01/2022,12/31/2022,Ortiz-Cartagena Family Trust,[REDACTED],SF ,CA,94134,Trust,,Unset,,,,,,Unset,10000,"$10,001 - $100,000",Rents,,,,,,,,,,,
61319ee4c2fc45908eb21dd8e498d82c,SFO-161161,207655222,"JOHNSON-SILK, KATHLEEN",04/04/2023 01:00:08 PM,Public Health Department of,Health Program Coordinator III,Health Program Coordinator III - Public Health Department of,01/01/2022,12/31/2022,Silk Family Trust,[REDACTED],San Francisco,CA,94117,Trust,,Unset,,,,,,Unset,250,$0 - $499,,,,,,,,,,,,
3deeb7a2ed8d4cbcb692244a01deb9a2-1,SFO-157821,207654150,"Spencer, Robert",04/04/2023 12:21:40 PM,Assessor-Recorder,Principal Real Property Appraiser,Principal Real Property Appraiser - Assessor-Recorder,01/01/2022,12/31/2022,"Bravshado, LLC",[REDACTED],San Francisco,CA,94114,Business Entity,Tavern/Bar Business,Sole Proprietorship,,N/A - spouse is owner,,,100000,"$100,001 - $1,000,000",100000,"Over $100,000",,Real Property,1316 Castro St.,[REDACTED],1316 Castro St.,,,10000,"$10,001 - $100,000",Leasehold,1,
c61af31c1b674713a878e402fa45d90e,SFO-162028,207653420,"Smith, Karina",04/04/2023 12:02:23 PM,City Administrator's Office (GSA),Office of Contract Administration--Senior Purchaser,Office of Contract Administration--Purchaser - City Administrator's Office (GSA),01/01/2022,12/31/2022,Notarized by KB LLC,[REDACTED],Benicia,CA,94510,Business Entity,Loan notarization for residential properties. ,Other,LLC,Owner,,,1000,"$0 - $1,999",250,$0 - $499,,,,,,,,,,,,
3cf8265a9768475fbc67033bb63bd742-34,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,HONEYWELL INTL INC,[REDACTED],Engineering and technology ,10/31/2022,,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-35,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,HONEYWELL INTL INC,[REDACTED],Engineering and technology ,12/07/2022,,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-36,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,JPMORGAN CHASE & CO,[REDACTED],Financial services,10/31/2022,,10000,"$10,001 - $100,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-37,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,MONSTER BEVERAGE CORP,[REDACTED],Beverages,10/31/2022,,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-38,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,NETFLIX INC,[REDACTED],Media,10/31/2022,,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-39,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,NIKE INC,[REDACTED],"Footwear, apparel, equipment, accessoriea",,05/25/2022,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-40,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,NORTHROP GRUMMAN,[REDACTED],Aerospace and defense technology,10/31/2022,,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-41,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,PROCTER & GAMBLE,[REDACTED],Consumer goods,10/31/2022,,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-42,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,PROLOGIS INC,[REDACTED],Real estate investment trust,11/03/2022,,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-43,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,QUALCOMM INC,[REDACTED],"Semiconductors, software, and services",10/31/2022,,2000,"$2,000 - $10,000",Stock,,
3cf8265a9768475fbc67033bb63bd742-44,SFO-156006,207653264,"Aseron, Lome",04/04/2023 11:57:35 AM,Municipal Transportation Agency,Municipal Transportation Agency--Manager V,Municipal Transportation Agency--Manager V - Municipal Transportation Agency,01/01/2022,01/16/2023,Hugh Ellwood Macbeth Trust,[REDACTED],Oakland,CA,94611,Trust,,Unset,,,,,,Unset,100000,"Over $100,000",2008 Hugh E. Macbeth Revocable Trust,Investment,ROCKWELL AUTOMATION INC,[REDACTED],Industrial automation,10/31/2022,,2000,"$2,000 - $10,000",Stock,,
